Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Species Name	% Samples above Threshold	Positive Flag	Avg Count	20200717_Qi 2 of 4_OV2-14_02.RCC	20200717_QL-TGFB_OV2-10_10.RCC	20200717_QL-TGFB_OV2-11_11.RCC	20200717_QL-TGFB_OV2-12_12.RCC	20200717_QL-TGFB_OV2-1_01.RCC	20200717_QL-TGFB_OV2-2_02.RCC	20200717_QL-TGFB_OV2-3_03.RCC	20200717_QL-TGFB_OV2-4_04.RCC	20200717_QL-TGFB_OV2-5_05.RCC	20200717_QL-TGFB_OV2-6_06.RCC	20200717_QL-TGFB_OV2-7_07.RCC	20200717_QL-TGFB_OV2-8_08.RCC	20200717_QL-TGFB_OV2-9_09.RCC	20200717_Qi 2 of 4_OV1-5_09.RCC	20200717_Qi 2 of 4_OV2-13_01.RCC	20200717_Qi 2 of 4_OV2-15_03.RCC	20200717_Qi 2 of 4_OV2-16_04.RCC	20200717_Qi 2 of 4_OV2-17_05.RCC	20200717_Qi 2 of 4_OV2-18_06.RCC	20200717_Qi 2 of 4_OV2-19_07.RCC	20200717_Qi 2 of 4_OV2-20_08.RCC	20200717_Qi 2 of 4_OV2-22_10.RCC	20200717_Qi 2 of 4_OV2-23_11.RCC	20200717_Qi 2 of 4_OV2-24_12.RCC	20200721_Qi 3 of 4_OV-10_10.RCC	20200721_Qi 3 of 4_OV-11_11.RCC	20200721_Qi 3 of 4_OV-12_12.RCC	20200721_Qi 3 of 4_OV-1_01.RCC	20200721_Qi 3 of 4_OV-2_02.RCC	20200721_Qi 3 of 4_OV-3_03.RCC	20200721_Qi 3 of 4_OV-4_04.RCC	20200721_Qi 3 of 4_OV-5_05.RCC	20200721_Qi 3 of 4_OV-6_06.RCC	20200721_Qi 3 of 4_OV-7_07.RCC	20200721_Qi 3 of 4_OV-8_08.RCC	20200721_Qi 3 of 4_OV-9_09.RCC	20200721_Qi 4 of 4_OV-10-2_12.RCC	20200721_Qi 4 of 4_OV-13_01.RCC	20200721_Qi 4 of 4_OV-14_02.RCC	20200721_Qi 4 of 4_OV-15_03.RCC	20200721_Qi 4 of 4_OV-16_04.RCC	20200721_Qi 4 of 4_OV-17_05.RCC	20200721_Qi 4 of 4_OV-18_06.RCC	20200721_Qi 4 of 4_OV-5-2_07.RCC	20200721_Qi 4 of 4_OV-6-2_08.RCC	20200721_Qi 4 of 4_OV-7-2_09.RCC	20200721_Qi 4 of 4_OV-8-2_10.RCC	20200721_Qi 4 of 4_OV-9-2_11.RCC
BCL2L1		NM_138578.1		Endogenous	mRNA		100,00	false	147,97	472,87	324,60	244,97	422,53	209,11	34,66	206,31	89,93	175,72	299,64	116,45	132,28	347,77	85,24	165,94	207,99	127,98	126,57	40,65	273,34	136,86	84,77	179,47	84,60	134,70	117,29	41,67	56,61	88,73	176,26	83,66	61,57	106,90	120,74	176,64	102,62	126,03	99,27	117,43	116,58	60,28	129,65	101,22	93,59	103,49	99,23	137,79	60,48
BRCA1		NM_007294.3		Endogenous	mRNA		60,42	false	16,10	4,39	22,79	13,01	11,16	13,12	3,01	15,60	13,85	10,63	21,13	23,70	13,41	14,09	21,72	18,86	7,94	20,59	13,24	5,88	12,42	24,18	3,16	28,79	7,19	6,77	29,82	71,59	23,00	18,54	6,36	11,95	10,51	19,28	15,24	20,89	17,55	8,74	11,03	6,64	3,46	7,09	4,62	40,17	22,76	19,40	19,46	30,44	3,46
BRCA2		NM_000059.3		Endogenous	mRNA		85,42	false	23,26	4,39	26,24	31,97	11,16	13,12	28,89	10,63	18,10	15,71	30,18	19,92	40,46	14,09	23,35	26,40	7,94	15,02	33,09	5,88	30,17	23,01	20,34	39,81	18,03	14,84	15,90	21,37	38,92	9,27	9,21	4,53	15,02	26,29	15,24	37,99	32,41	14,16	59,88	21,57	42,74	21,28	30,34	24,10	21,50	28,46	29,18	40,06	34,27
CA12		NM_001218.3		Endogenous	mRNA		87,50	false	67,20	216,73	104,98	24,16	68,59	33,10	98,21	38,28	84,68	57,15	15,64	132,59	24,90	14,09	51,58	49,03	34,91	141,89	157,18	11,99	3,46	27,29	444,20	31,85	51,31	6,77	194,82	9,62	37,15	11,92	11,84	401,55	16,52	40,31	4,69	15,19	18,90	8,74	86,66	119,83	159,32	15,96	4,62	27,31	41,74	24,58	7,78	17,62	24,19
CASP8		NM_001228.4		Endogenous	mRNA		97,92	false	198,50	4,39	155,39	108,17	101,52	109,80	80,88	141,08	139,57	155,72	91,83	118,51	119,05	92,74	249,20	160,28	101,81	195,31	195,24	59,97	76,32	191,84	162,76	143,94	98,46	242,00	284,28	188,06	348,52	169,51	334,11	346,58	168,18	339,99	294,22	302,00	99,92	219,49	256,84	436,17	442,99	157,80	364,12	133,36	254,21	353,17	272,38	357,31	108,86
CCDC99		NM_017785.4		Endogenous	mRNA		95,83	false	41,44	4,39	19,34	36,43	11,16	31,49	40,44	79,40	44,97	30,00	22,42	26,79	18,68	17,62	50,49	18,86	13,09	23,37	38,88	8,00	39,05	15,21	30,52	30,63	30,51	37,67	35,78	48,08	83,15	29,14	73,66	62,14	36,04	75,36	30,48	83,57	51,31	36,82	42,54	62,31	27,20	44,32	60,69	109,26	46,79	60,80	27,24	86,52	56,45
CCL20		NM_004591.1		Endogenous	mRNA		87,50	false	98,01	4,39	139,51	53,90	43,90	13,12	80,88	41,83	53,73	51,43	17,68	71,79	22,57	57,50	17,92	5,76	7,94	10,02	40,54	5,88	14,20	31,58	64,43	150,68	13,87	47,94	168,98	5,34	252,99	497,95	134,17	105,17	453,48	33,30	264,92	32,29	16,20	56,64	445,92	6,64	676,14	10,64	19,31	38,56	22,76	25,87	309,35	36,85	28,22
CCND1		NM_053056.2		Endogenous	mRNA		100,00	false	1098,08	1556,53	1196,88	674,31	2071,50	197,00	127,10	362,28	423,98	371,44	1697,39	952,21	902,63	1912,27	251,92	844,77	1098,14	1279,26	1169,77	91,29	733,06	1278,18	542,53	157,42	751,66	2389,20	1836,86	56,63	741,27	3763,74	1971,79	1293,09	4255,50	285,66	2111,15	1699,91	712,96	2029,23	178,05	1344,44	244,81	767,70	1103,39	337,41	237,77	196,63	2151,84	1708,01	647,10
CCND2		NM_001759.2		Endogenous	mRNA		89,58	false	88,89	4,39	125,01	43,86	11,16	40,37	92,44	161,64	71,83	230,01	109,94	140,84	89,49	19,48	20,09	241,36	167,27	27,82	97,62	601,02	35,50	144,27	88,16	50,84	44,38	67,35	29,82	4,08	67,23	27,81	107,86	4,53	16,52	15,77	77,37	22,79	229,55	104,79	29,94	6,64	174,86	115,24	57,93	38,56	27,82	14,23	116,74	20,83	229,81
CDKN1A		NM_000389.2		Endogenous	mRNA		100,00	false	106,73	118,22	224,46	133,82	79,57	44,41	236,87	93,58	110,96	108,58	167,71	63,89	56,80	25,97	45,61	73,54	346,17	49,52	220,05	149,26	24,85	67,85	230,57	80,24	61,02	99,31	23,86	141,05	28,31	58,27	39,46	35,85	61,57	28,04	110,19	47,48	291,67	154,35	39,39	19,17	221,49	304,95	49,65	44,99	35,41	18,11	77,82	46,47	332,62
CDKN2D		NM_001800.3		Endogenous	mRNA		81,25	false	26,82	4,39	51,80	50,18	35,67	56,52	63,55	88,62	46,72	38,57	54,75	14,28	19,45	38,02	9,23	39,60	24,73	26,71	23,99	5,88	23,07	24,96	23,74	56,35	33,28	7,99	4,62	20,30	2,41	29,14	6,36	4,53	52,56	26,29	18,76	18,99	28,36	18,41	22,06	16,78	27,20	8,86	4,62	27,31	5,04	10,35	17,51	36,85	18,14
CHEK2		NM_001005735.1		Endogenous	mRNA		93,75	false	42,61	4,39	22,79	57,62	11,16	13,12	46,22	44,66	28,62	35,72	39,66	28,17	32,68	40,80	59,72	15,09	17,45	63,99	51,29	9,99	24,85	44,45	13,56	41,04	23,58	34,25	53,67	53,43	123,84	39,73	48,67	31,07	37,54	85,87	11,72	66,48	75,62	45,31	39,39	107,84	54,40	47,87	55,17	30,53	48,06	46,57	27,24	40,06	70,56
CHRNA9		NM_017581.2		Endogenous	mRNA		6,25	false	7,02	4,39	13,51	11,42	11,16	13,12	3,01	6,47	13,85	10,63	15,64	14,28	13,41	14,09	8,85	5,76	7,94	6,57	6,28	5,88	3,46	7,90	3,16	6,47	7,19	6,77	4,62	4,08	2,41	9,27	6,36	4,53	18,02	1,75	3,11	4,00	2,41	8,74	4,00	6,64	3,46	3,11	4,62	2,41	5,04	2,41	3,11	8,07	3,46
CIB1		NM_001277764.1		Endogenous	mRNA		97,92	false	287,34	4,39	238,27	205,94	117,98	151,79	52,00	146,76	182,21	315,73	210,40	444,16	255,23	192,90	203,05	228,16	171,63	356,68	292,03	103,95	136,67	358,73	257,70	246,85	180,29	383,55	487,05	253,25	366,21	717,79	189,42	334,63	770,31	219,06	664,64	229,82	272,76	403,58	225,33	237,25	660,59	226,94	223,44	223,33	239,03	200,52	692,64	243,54	274,16
COL4A2		NM_001846.2		Endogenous	mRNA		100,00	false	383,56	531,98	684,43	324,15	438,99	369,78	121,32	581,35	1006,22	677,17	782,95	245,95	278,57	276,36	346,93	624,15	376,71	170,27	507,95	111,27	218,32	738,13	603,56	364,45	520,06	319,63	292,23	97,24	152,15	505,89	101,29	145,80	442,97	343,49	429,03	123,46	479,36	356,85	212,72	127,02	590,65	359,92	91,03	520,57	306,06	294,95	523,37	184,26	510,02
CTGF		NM_001901.2		Endogenous	mRNA		100,00	false	679,76	1103,36	1810,87	1365,73	1059,07	93,66	69,33	156,68	199,72	418,59	183,23	129,16	322,15	529,54	312,72	490,27	1867,56	279,33	331,74	343,82	149,10	389,15	712,07	149,46	95,69	569,62	35,78	30,99	550,20	523,11	781,35	81,27	578,11	266,38	247,34	24,69	5676,70	498,46	146,54	93,46	1457,19	1069,11	510,32	694,09	344,00	201,81	258,77	44,86	5382,46
DLC1		NM_006094.3		Endogenous	mRNA		47,92	false	12,32	4,39	30,39	11,42	11,16	13,12	3,01	21,27	13,85	27,14	23,28	14,28	13,41	14,09	8,85	32,06	24,73	6,57	9,93	11,99	3,46	10,14	3,16	9,80	7,19	6,77	4,62	8,55	10,61	13,24	6,36	4,53	9,01	5,26	10,55	4,00	33,76	8,74	4,00	6,64	34,97	21,28	16,55	2,41	5,04	3,88	9,73	8,07	24,19
DNA2		NM_001080449.2		Endogenous	mRNA		93,75	false	41,85	4,39	16,58	24,53	11,16	20,99	34,66	53,88	53,73	18,57	50,01	30,92	42,80	24,11	69,49	26,40	14,54	42,29	37,23	8,00	23,07	72,53	3,16	45,33	34,67	20,55	69,58	90,83	109,69	50,32	40,78	33,46	55,56	105,15	29,31	56,98	62,11	24,07	29,94	79,08	23,32	14,18	57,93	33,74	73,35	59,51	23,35	46,47	56,45
DNAJB9		NM_012328.2		Endogenous	mRNA		89,58	false	24,68	137,92	38,68	14,87	11,16	16,95	3,01	17,02	13,85	35,72	18,54	18,55	13,41	29,68	12,49	24,51	30,54	10,02	26,47	12,66	33,72	15,21	54,25	15,93	11,09	15,98	27,83	24,58	23,00	33,11	27,62	23,90	27,03	12,27	14,07	24,69	41,86	24,07	20,48	6,64	73,83	26,59	16,55	9,64	13,91	16,82	19,46	14,42	30,24
DSC2		NM_024422.3		Endogenous	mRNA		100,00	false	367,80	394,06	265,21	142,00	216,75	197,00	121,32	72,31	126,14	138,58	216,43	39,85	314,37	96,45	182,97	154,62	69,82	231,48	221,71	11,99	280,44	621,15	179,71	245,62	506,19	279,67	405,54	37,40	668,73	675,41	1561,39	497,16	687,73	615,13	83,23	436,85	155,29	308,70	346,66	448,15	198,18	65,60	2126,78	1454,06	201,09	553,68	107,01	525,54	169,34
EGFR		NM_201282.1		Endogenous	mRNA		95,83	false	56,94	98,51	73,21	92,19	11,16	27,45	46,22	55,30	29,78	81,43	34,49	59,43	31,90	45,44	36,92	41,48	48,00	36,17	75,28	81,29	15,97	64,73	84,77	25,73	49,93	71,92	23,86	32,06	17,69	164,22	85,50	19,12	130,64	52,58	96,12	30,39	86,42	86,38	55,15	6,64	38,86	118,79	46,89	19,28	35,41	68,56	105,06	22,43	72,57
ENC1		NM_003633.2		Endogenous	mRNA		97,92	false	161,23	4,39	177,50	489,94	235,96	226,87	63,55	132,58	80,01	112,86	167,28	43,97	92,60	134,47	77,10	301,70	219,63	77,35	163,80	326,50	172,17	92,41	98,33	105,97	147,00	127,85	322,05	84,42	180,45	121,84	127,59	133,85	121,63	173,50	151,22	98,77	334,88	130,28	77,21	136,60	120,46	234,03	41,38	435,42	70,82	177,23	155,65	91,33	346,74
ERCC1		NM_001983.3		Endogenous	mRNA		100,00	false	150,52	177,33	127,08	87,73	101,52	133,22	92,44	126,20	84,09	154,29	120,72	107,52	105,05	154,87	154,19	118,80	175,99	198,65	131,54	126,60	95,85	92,02	81,38	83,30	115,11	187,21	89,46	88,69	97,30	62,24	278,87	167,31	73,58	177,00	192,24	218,42	141,78	301,62	129,21	184,53	217,61	237,58	303,43	115,68	182,12	200,52	186,78	293,21	153,21
F3		NM_001993.3		Endogenous	mRNA		93,75	false	105,93	4,39	50,42	25,65	32,92	40,37	52,00	61,68	41,46	124,29	36,65	493,97	38,13	31,53	26,06	47,14	101,81	253,18	196,89	88,62	14,20	62,78	50,86	31,85	360,57	59,36	33,80	326,98	33,61	23,84	32,89	4,53	28,53	17,53	239,13	55,08	257,91	46,73	53,57	6,64	540,13	445,02	22,07	11,25	22,76	20,70	237,36	48,07	249,97
FAAP24		NM_152266.5		Endogenous	mRNA		50,00	false	10,66	4,39	13,51	11,42	11,16	13,12	3,01	21,27	16,35	10,63	15,64	14,28	13,41	15,77	8,85	16,97	11,64	6,57	10,75	5,88	7,10	8,58	3,16	14,70	11,09	6,77	4,62	8,55	12,38	19,86	13,15	4,53	12,01	5,26	7,03	13,30	25,66	8,74	12,61	6,64	3,46	8,86	4,62	12,85	5,04	5,17	3,11	8,07	30,24
FANCB		NM_001018113.2		Endogenous	mRNA		83,33	false	40,05	4,39	13,51	76,20	11,16	30,68	34,66	43,96	49,64	17,14	15,64	32,29	22,57	14,09	57,55	22,63	7,94	29,49	19,03	7,33	21,30	33,92	3,16	66,77	13,87	44,52	31,81	74,80	222,91	45,03	40,78	21,51	28,53	57,83	23,44	45,58	101,27	29,74	42,54	127,02	3,46	14,18	52,41	32,13	53,12	59,51	13,62	27,24	80,64
FANCC		NM_001243743.1		Endogenous	mRNA		81,25	false	19,98	4,39	18,65	27,51	11,16	23,41	3,01	6,47	35,04	10,63	15,64	14,28	21,01	24,11	22,80	18,86	14,54	23,93	10,75	10,66	21,30	27,68	3,16	37,36	23,58	6,77	11,93	19,23	23,00	15,89	11,84	16,73	9,01	40,31	10,55	34,19	28,36	12,74	23,64	21,57	27,20	21,28	16,55	30,53	16,44	41,40	11,67	56,08	22,17
FANCD2		NM_033084.3		Endogenous	mRNA		95,83	false	73,82	4,39	40,06	143,49	11,16	40,37	23,11	121,23	54,31	50,00	76,31	101,34	70,81	54,72	100,98	66,00	16,00	154,69	96,79	19,99	44,37	62,39	23,74	64,32	90,14	67,35	85,48	145,32	72,53	39,73	39,46	69,32	49,55	77,11	50,41	205,13	93,17	55,23	105,57	122,22	46,63	79,78	80,00	56,23	101,18	91,85	44,75	152,22	82,65
FANCE		NM_021922.2		Endogenous	mRNA		95,83	false	27,57	4,39	30,39	26,39	38,41	30,68	57,77	29,07	33,87	24,29	21,13	27,48	13,41	22,26	16,29	22,63	23,27	39,51	19,85	37,31	37,27	42,50	40,69	29,40	20,80	28,54	33,80	23,51	19,46	25,16	30,25	19,12	19,52	24,54	22,27	60,78	24,31	33,99	28,36	19,17	19,43	26,59	13,79	28,92	20,24	19,40	36,97	40,06	16,13
FANCF		NM_022725.2		Endogenous	mRNA		97,92	false	56,35	118,22	31,77	73,23	63,11	51,67	63,55	56,01	37,96	25,72	50,01	32,29	64,58	79,76	102,61	39,60	56,72	61,77	32,26	18,66	15,97	84,61	37,30	41,04	7,19	28,54	51,69	39,54	76,07	52,97	30,25	86,05	51,05	77,11	59,78	51,28	51,31	18,41	34,67	88,67	38,86	47,87	91,03	72,30	116,35	91,85	68,10	68,90	66,52
FANCM		NM_020937.4		Endogenous	mRNA		97,92	false	75,39	4,39	49,04	84,01	32,92	88,81	127,10	97,84	65,41	80,00	84,07	46,03	41,24	51,01	89,04	64,11	72,72	30,05	95,14	69,30	72,77	63,95	54,25	91,27	110,95	31,96	81,51	227,60	42,46	90,05	89,45	117,12	117,12	84,12	44,54	87,37	63,46	33,99	97,69	127,02	81,60	63,83	55,17	93,19	98,65	72,44	54,48	56,08	42,33
FAP		NM_004460.2		Endogenous	mRNA		75,00	false	92,03	4,39	147,11	69,14	11,16	32,30	3,01	144,63	172,28	234,29	146,59	14,28	131,50	14,09	129,76	216,85	221,08	26,71	273,83	5,88	3,46	100,60	132,24	75,95	113,72	264,83	4,62	4,08	33,61	38,41	144,69	4,53	42,04	77,11	91,43	4,00	139,08	216,66	18,91	40,74	221,49	26,59	33,10	136,57	146,71	98,32	66,15	8,07	131,03
FGF2		NM_002006.4		Endogenous	mRNA		50,00	false	19,72	4,39	13,51	11,42	11,16	13,12	127,10	42,54	26,28	15,71	15,64	14,28	21,79	14,09	8,85	22,63	20,36	23,93	6,28	44,64	3,46	7,90	23,74	6,47	7,19	23,97	4,62	4,08	31,84	7,95	13,15	4,53	3,82	1,75	7,03	4,00	74,27	21,24	4,00	6,64	23,32	70,92	16,55	6,43	13,91	2,41	3,11	8,07	82,65
FN1		NM_054034.2		Endogenous	mRNA		100,00	false	3428,85	2423,46	7318,06	2929,59	1311,49	1072,20	392,86	2548,73	9128,95	5973,08	4521,35	419,08	3258,04	1537,60	3424,22	12120,90	6959,71	1216,94	16345,28	656,32	275,12	4074,33	5988,16	5701,41	6150,54	8871,90	693,79	79,07	767,80	656,87	5545,76	282,04	759,80	2392,17	1843,89	319,09	2360,34	8233,05	975,36	913,07	8067,02	980,46	769,61	3814,31	3560,17	2309,16	1898,91	328,46	2415,05
GEN1		NM_182625.4		Endogenous	mRNA		100,00	false	96,45	98,51	52,49	77,69	49,39	130,80	57,77	60,97	131,40	47,14	68,55	80,72	58,36	33,39	146,05	69,77	18,91	57,87	55,43	8,66	102,95	65,12	33,91	107,80	42,99	53,65	139,16	189,13	475,90	119,19	82,87	59,75	120,13	168,24	114,88	75,97	168,79	60,89	118,18	69,50	81,60	62,05	115,86	88,37	110,03	173,35	112,85	51,27	161,27
HEY1		NM_001040708.1		Endogenous	mRNA		64,58	false	21,11	4,39	13,51	11,42	11,16	13,12	75,10	62,39	35,04	20,00	35,35	80,38	13,41	14,09	8,85	18,86	7,94	18,92	11,58	5,88	17,75	19,50	13,56	12,25	36,06	13,70	4,62	128,23	19,46	50,32	18,42	4,53	43,55	12,27	10,55	4,00	10,80	12,74	4,00	6,64	23,32	15,96	4,62	4,82	11,38	9,06	15,56	8,07	16,13
HMGA2		NM_003484.1		Endogenous	mRNA		60,42	false	27,66	4,39	13,51	27,14	11,16	25,84	23,11	17,72	28,03	10,63	97,44	14,28	31,13	178,06	8,85	54,68	7,94	32,83	6,28	29,98	14,20	157,53	3,16	9,80	7,19	7,99	11,93	4,08	23,00	9,27	6,36	4,53	10,51	5,26	22,27	22,79	117,48	8,74	20,48	6,64	3,46	21,28	4,62	22,49	5,04	2,41	17,51	25,64	129,02
HRAS1		NM_005343.3		Endogenous	mRNA		97,92	false	93,08	4,39	93,24	151,29	74,08	214,76	92,44	89,33	123,81	97,15	125,03	114,39	91,04	69,55	49,41	115,02	84,36	141,34	86,04	53,97	49,70	108,79	74,60	123,73	77,66	44,52	57,65	71,59	42,46	136,41	48,67	66,93	154,66	63,09	104,33	199,43	103,97	58,06	64,60	76,69	97,15	49,64	52,41	136,57	44,26	54,33	99,23	229,12	106,84
ID1		NM_002165.3		Endogenous	mRNA		100,00	false	208,42	1201,88	275,57	48,32	219,50	230,91	75,10	319,74	331,71	231,44	283,26	361,03	101,94	487,80	315,44	105,60	613,79	97,38	121,61	127,93	266,24	96,31	135,63	36,75	262,11	75,34	23,86	10,69	65,46	103,30	42,09	78,88	90,10	173,50	120,74	93,07	356,48	124,61	78,79	57,52	213,72	352,82	317,22	62,66	298,47	213,45	134,25	141,00	429,39
IGF2BP3		NM_006547.2		Endogenous	mRNA		93,75	false	187,40	4,39	15,88	14,87	11,16	16,95	167,54	216,23	122,05	35,72	221,61	209,20	284,02	459,06	539,67	169,71	7,94	19,48	79,42	9,33	21,30	102,55	13,56	185,60	158,10	28,54	19,88	9,62	422,82	55,62	39,46	40,63	46,55	347,00	29,31	444,45	1181,52	21,24	17,33	19,17	85,49	10,64	13,79	311,70	588,09	377,75	36,97	514,33	1247,84
IGFBP3		NM_000598.4		Endogenous	mRNA		100,00	false	596,40	709,30	450,30	249,43	268,88	697,57	496,85	326,12	470,11	1291,48	607,91	1137,70	413,97	375,59	286,12	386,56	769,42	339,99	1527,98	269,19	443,74	812,60	3075,46	435,51	735,01	179,22	439,34	26,71	376,83	401,27	630,08	203,17	396,42	762,34	808,82	761,64	511,77	165,68	441,20	162,96	1635,94	391,83	118,61	366,33	279,50	785,24	896,92	826,77	481,80
