Study ID	Patient ID	Sample ID	Diagnosis Age	Cancer Type	Cancer Type Detailed	Category of Sample	Doubling Time (hrs)	Epithelial	Fraction Genome Altered	Tumor Other Histologic Subtype	MDR	Mutation Count	Oncotree Code	P53	Ploidy	Prior Treatment	Number of Samples Per Patient	Sample Type	Sex	Somatic Status
cellline_nci60	SF_268	SF_268	24	CNS	CNS/Brain	NA	33.1	No	NA	"Glioblastoma, ud"	-38	188	BRAIN	MT	2n+, Hyperdiploid (47-57)	Rad	1	NA	Female	Matched
cellline_nci60	SF_295	SF_295	67	CNS	CNS/Brain	NA	29.5	No	NA	"Glioblastoma, ud"	91	138	BRAIN	MT	5n+/-, Near-pentaploid 115+/- (104-126)	Rad	1	NA	Female	Matched
cellline_nci60	SF_539	SF_539	34	CNS	CNS/Brain	NA	35.4	No	NA	Glial cell neoplasm	-40	156	BRAIN	WT	4n+/-, Near-tetraploid 92+/- (81-103)	Rad/BCNU/5FU/HU/6MP	1	NA	Female	Matched
cellline_nci60	SK_MEL_2	SK_MEL_2	60	Melanoma	Melanoma	Metastasis	45.5	No	0.2230	Malignant melanotic melanoma	14	500	MEL	WT	4n-, Hypotetraploid (81-91)	None	1	Metastasis	Male	Matched
cellline_nci60	SK_MEL_28	SK_MEL_28	51	Melanoma	Melanoma	NA	35.1	No	0.3626	Malignant melanotic melanoma	11	275	MEL	MT	4n-, Hypotetraploid (81-91)	None	1	NA	Male	Matched
cellline_nci60	SK_MEL_5	SK_MEL_5	24	Melanoma	Melanoma	Metastasis	25.2	No	0.2609	Malignant melanotic melanoma	12	325	MEL	WT	4n+, Hypertetraploid (93-103)	None	1	Metastasis	Female	Matched
cellline_nci60	SK_OV_3	SK_OV_3	64	Ovarian	Ovary/Fallopian Tube	Ascites	48.7	Yes	0.1290	Adenocarcinoma-vpd	15	275	OVARY	?	4n+/-, Near-tetraploid 92+/- (81-103)	Thiotepa	1	NA	Female	Matched
cellline_nci60	SN12C	SN12C	43	Renal	Renal Cell Carcinoma	NA	29.5	Yes	0.4149	Renal cell carcinoma-pd	-86	450	RCC	MT	3n, Triploid (69)	None	1	NA	Male	Matched
cellline_nci60	SNB_19	SNB_19	47	CNS	CNS/Brain	NA	34.6	No	NA	"Glioblastoma, ud"	-41	136	BRAIN	MT	3n+/-, Near-triploid 69+/- (58-80)	None	1	NA	Male	Matched
cellline_nci60	SNB_75	SNB_75	NA	CNS	CNS/Brain	NA	62.8	No	NA	Astrocytoma	-38	155	BRAIN	MT	2n+, Hyperdiploid (47-57)	None	1	NA	Female	Matched
cellline_nci60	SR	SR	11	Myeloid Neoplasm	Myeloid Neoplasm	NA	28.7	No	0.1630	Lymphoma	4	140	MNM	?	2n+/-, Near-diploid 46+/- (35-57)	Y	1	NA	Male	Matched
cellline_nci60	SW_620	SW_620	51	Colon	Colorectal Adenocarcinoma	NA	20.4	Yes	0.1357	Carcinoma-ud	31	296	COADREAD	MT	2n+/-, Near-diploid 46+/- (35-57)	NA	1	NA	Male	Matched
cellline_nci60	T47D	T47D	54	Breast	Invasive Breast Carcinoma	NA	45.5	Yes	0.7609	infiltrating ductal carcinoma	19	236	BRCA	MT	2n+, Hyperdiploid (47-57)	NA	1	NA	Female	Matched
cellline_nci60	TK_10	TK_10	43	Renal	Renal Cell Carcinoma	NA	51.3	Yes	0.3015	Renal Spindle cell carcinoma	-4	264	RCC	MT	4n, Tetraploid (92)	None	1	NA	Male	Matched
cellline_nci60	U251	U251	75	CNS	CNS/Brain	NA	23.8	No	NA	"Glioblastoma,ud"	-19	363	BRAIN	MT	2n+, Hyperdiploid (47-57)	NA	1	NA	Male	Matched
cellline_nci60	UACC_257	UACC_257	NA	Melanoma	Melanoma	NA	38.5	No	0.3970	Melanotic melanoma	26	277	MEL	WT	3n+, Hypertriploid (70-80)	NA	1	NA	NA	Matched
cellline_nci60	UACC_62	UACC_62	NA	Melanoma	Melanoma	NA	31.3	No	0.2405	Melanotic melanoma	8	458	MEL	WT	3n+/-, Near-triploid 69+/- (58-80)	NA	1	NA	NA	Matched
cellline_nci60	UO_31	UO_31	NA	Renal	Renal Cell Carcinoma	NA	41.7	Yes	0.0681	Renal cell carcinoma-vpd	59	198	RCC	WT	2n+/-, Near-diploid 46+/- (35-57)	None	1	NA	Female	Matched
cellline_nci60	X786_0	X786_0	NA	Other	Cancer of Unknown Primary	NA	NA	NA	0.2172	NA	NA	NA	CUP	NA	NA	NA	1	NA	NA	NA
